Nome,Apelido,Time
Alan Kardec de Souza Pereira Junior,Alan Kardec,Atlético Mineiro-MG
Alan Steven Franco Palma,Alan Franco,Atlético Mineiro-MG
Alexandre Lopes Gomes,Alexandre Lopes,Atlético Mineiro-MG
Alisson Santana Lopes da Fonseca,Alisson Santana,Atlético Mineiro-MG
Allan Rodrigues de Souza,Allan,Flamengo-RJ
Athyrson Ferreira Prates,Athyrson,Atlético Mineiro-MG
Bruno de Lara Fuchs,Bruno Fuchs,Atlético Mineiro-MG
Caio da Silva Maia,Caio Maia,Atlético Mineiro-MG
Caio Henrique Ribas Dias de Araujo,CAIO RIBAS,Atlético Mineiro-MG
Carlos Eduardo Amaral Pereira de Castro,Cadu,Atlético Mineiro-MG
Cristian David Pavon,Pavon,Atlético Mineiro-MG
Daniel Borges da Silva,Daniel Borges,Atlético Mineiro-MG
Diego Fernandes Simoes,Diego Fernandes,Atlético Mineiro-MG
Edenilson Andrade dos Santos,Edenilson,Atlético Mineiro-MG
Eduardo Jesus Vargas Rojas,Vargas,Atlético Mineiro-MG
Emanuel Pereira dos Santos,Emanuel Pereira,Time nao encontrado
Everson Felipe Marques Pires,Everson,Atlético Mineiro-MG
Federico Matias Zaracho,Zaracho,Atlético Mineiro-MG
Gabriel Atila Cardoso da Silva,Gabriel Átila,Atlético Mineiro-MG
Gabriel Delfim Ferreira,Gabriel Delfim,Atlético Mineiro-MG
Givanildo Vieira de Sousa,Hulk,Atlético Mineiro-MG
Guilherme Antonio Arana Lopes,Guilherme Arana,Atlético Mineiro-MG
Hyoran Kaue Dalmoro,Hyoran,Atlético Mineiro-MG
Igor Rabello da Costa,Igor,Atlético Mineiro-MG
Igor Silveira Gomes,Igor Gomes,Atlético Mineiro-MG
Isaac Aguiar Tomich,Isaac,Atlético Mineiro-MG
Jadson Alves de Lima,Jadson,Atlético Mineiro-MG
Jemerson de Jesus Nascimento,Jemerson,Atlético Mineiro-MG
Joao Rafael Macedo Pereira,Joao Rafael,Atlético Mineiro-MG
Jose Rodolfo Pires Ribeiro,Dodo,Santos-SP
Kauan Silva Sales,KAUAN,Time nao encontrado
Kayque Ryann Santos Silva,KAYQUE,Atlético Mineiro-MG
Leandro Josue Rodriguez Santaella,Leandro,Atlético Mineiro-MG
Leonardo dos Santos Lopes da Silva,Leonardo Santos,Atlético Mineiro-MG
Mariano Ferreira Filho,Mariano,Atlético Mineiro-MG
Mateus Jose Iseppe,Mateus Iseppe,Atlético Mineiro-MG
Matheus Mendes Werneck de Oliveira,Matheus Mendes,Atlético Mineiro-MG
Nathanael Ananias da Silva,Nathan Silva,Time nao encontrado
Otavio Henrique Passos Santos,Otavio,Atlético Mineiro-MG
Paolo Mauricio Lemos Merladett,Muricio Lemos,Atlético Mineiro-MG
Patrick Bezerra do Nascimento,Patrick,Atlético Mineiro-MG
Paulo Henrique Sampaio Filho,Paulinho,Atlético Mineiro-MG
Paulo Vitor Monteiro,Vitinho,Atlético Mineiro-MG
Pedro Victor Delmino da Silva,Pedrinho,Atlético Mineiro-MG
Renan Cunha Macedo Santana,Renan,Atlético Mineiro-MG
Renzo Saravia,Renzo Saravia,Atlético Mineiro-MG
Rever Humberto Alves de Araujo,Rever,Atlético Mineiro-MG
Rodrigo Andrés Battaglia,Rodrigo Battaglia,Atlético Mineiro-MG
Romulo Helberte Pereira Junior,Rômulo,Atlético Mineiro-MG
Rubens Antonio Dias,Rubens,Atlético Mineiro-MG
Victor Hugo da Silva Costa,Vitinho,Time nao encontrado
Vitor Gabriel Reis Guimaraes,Vitor Gabriel,Atlético Mineiro-MG
Vitor Hugo Santos Graziani,Vitor Graziani,Atlético Mineiro-MG
Yan Philipe Oliveira Lemos,Yan Philipe,Atlético Mineiro-MG
Adailson Freire Pereira da Silva,Adailson,Time nao encontrado
Adilson dos Anjos Oliveira,Juninho,America Saf-MG
Adyson do Nascimento Soares,ADYSON,America Saf-MG
Alexandre Egea,Ale,America Saf-MG
Aloisio dos Santos Goncalves,Aloisio,America Saf-MG
Arthur Augusto de Matos Soares,Arthur,Time nao encontrado
Breno Cascardo Lemos,Breno Lemos,America Saf-MG
Daniel Fortunato Borges,Daniel Borges,America Saf-MG
Danilo Fernando Avelar,Danilo,America Saf-MG
Eder Ferreira Graminho,Eder,America Saf-MG
Esteban Rodrigo Burgos,Esteban Burgos,America Saf-MG
Everaldo Silva do Nascimento,Everaldo,America Saf-MG
Felipe Azevedo dos Santos,Felipe Azevedo,America Saf-MG
Gonzalo Mathias Mastriani Borges,Gonzalo Mastriani,America Saf-MG
Gustavo Marques Alves dos Santos,Gustavo,Time nao encontrado
Henrique Almeida Caixeta Nascentes,H. Almeida,Vila Nova-GO
Iago Justen Maidana Martins,Iago,America Saf-MG
Ighor Gabryel Vieira Gonçalves,Ighor Gabriel,America Saf-MG
Jonathan Alecxander da Silva Valerio,Jonathan Alecxander,America Saf-MG
Joriwinnyson Santos dos Anjos Rodrigues,Joriwinnyson,America Saf-MG
